Date,Time,Plot _Number,Subwatrshed_Location,Hydrogeomorphic_Classification,Vegataion_Type ,Percent_Canopy,Percent_Herb,Percent_Shrub,Percent_Bare,Percent_Litter,Percent_Rock,Percent_Woody,Percent_Water,Percent_DC,Grazing_Intensity,Percent_Trample,Percent_Hoof_Punch,Percent_DC_Grazed,Manure_Count,Water_Type_Within_5m ,Number_of_Streams,Water_Within_5m_Dist,Water_Type_Within_10m ,Number_of_Streams,Water_Within_10m_or_more_Dist,Strem_Width,Closest_Water_Distance,Water_Type,Prox_to_Restoration_m,Restoration_Location,Quantity_of_Restoration_Structures,Stream_Restoration_Type,Incised ,Bank_Sloughing ,Cattle_Impact_on_Stream,Cattle_Trail_Crossing_or_Bedding_Area,Stream_Impacts,Notes
8/5/2025,10:50 AM,51,CM ,Riparian_High_Gradient,Rush_Sedge_Grass_Forb,0,90,0,5,NA,5,1,20,20,Moderate,0,10,2,3,Sm_Scale_Drainage,1,0,Stream ,1,18,3,0,Sm_Scale_Drainage,49,NA,49,Log_Jam ,Yes,Yes,Yes,No,"Incised, bank sloughing, trampling and hoof punch on streambank, manure in stream possibly causing a chemical reaction in stagent water, grazing","Cows have been here recently, fresh manure, Also we had to slightly move plot point to aviod impacting the cattle exclusion plot for the Seedbank Study"
8/5/2025,10:50 AM,79,RF,Riparian_Mid_Gradient,Grass_Forb,1,95,0,1,NA,0,2,1,0,High ,0,10,0,6,Sm_Scale_Drainage,1,> 1 away on either side of plot,None ,0,NA,NA,0.5,Sm_Scale_Drainage,1.5,NA,1.5,Log_Jam ,No ,No ,Yes,No,"Lots of hoof punch around sm. scale drainage outside of plot, 6"" diameter Log_Jam ","Manure fresh, recent cow sign"
8/5/2025,11:35 AM,1,RF,Riparian_Mid_Gradient,Shrub_Grass_Forb_Pine_Fir ,30,4,40,0,NA,40,40,0,0,Low ,0,0,0,0,None ,0,NA,Stream ,1,14,2,14,Stream,9 upstream 2 downstream,Both,2,BDA ,No ,No ,Yes,No,grazing and trampling on streambank,lots of downed trees and woody debris 
8/5/2025,11:35 AM,117,RF,Riparian_Mid_Gradient,Shrub_Forb_Grass_Sedge_Pine,25,3,20,5,NA,25,8,0,0,Low ,0,0,0,2,None ,0,NA,Stream ,1,7,2,7,Stream,9 upstream 13 downstream,Both,2,Both,Yes,No ,No,No,incised channel with maure along the streambanks ,
8/5/2025,12:28 PM,78,RF,Riparian_Mid_Gradient,Shrub_Forb_Pine_Fir_Grass,70,1,3,0,95,0,0,0,0,None ,25,0,0,6,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,Yes,No,,Manure and trampling are old 
8/5/2025,12:28 PM,37,RF,Riparian_Mid_Gradient,Forb_Shrub_Pine_Fir ,15,30,1,30,20,8,0,0,0,Low ,20,0,0,9,Sm_Scale_Drainage,1,2,Stream ,2,11 and 19,2,2,Sm_Scale_Drainage,.5 upstream,Upstream,1,BDA ,No ,Yes,Yes,No,"Grazing along streambed (DC munched), hoof punch and trampling, bank sloughing ",manure and grazing moght be old but hoof punch and trampling looks newer 
8/5/2025,1:21 PM,76,RF,Riparian_Mid_Gradient,Pine_Forb_Fir_Shrub_Grass,20,10,8,5,20,25,15,0,0,None ,20,0,0,4,Sm_Scale_Drainage,1,19,Stream ,1,23,2,19,Sm_Scale_Drainage,10.5 downstream ,Downstream,1,Log_Jam ,No ,No ,Yes,No,"Lots of trampling and grazing, hoof punch adjacent to water's edge, DC present ",Last year's manure 
8/5/2025,1:21 PM,95,RF,Riparian_Mid_Gradient,Grass_Forb_Pine_Sedge_Rush,5,90,0,5,0,1,20,25,0,Low ,25,30,0,2,None ,0,NA,Stream ,1,10.5,3,NA,NA,6 upstream ,Upstream,1,Log_Jam ,Yes,No ,Yes,No,"Stream incison begining, hoof punch, grazing, lots of woody debris in stream. DC present ",
8/5/2025,1:50 PM,138,RF,Riparian_Mid_Gradient,"Grass,_Fir_Forb_Sedge_Rush_Pine",20,35,1,10,20,0,40,15,0,Moderate,25,15,0,4,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,Yes,No,"Hoof punch and trampling on streambank, and grazing adjacent to streambank",Sm_Scale_Drainageleads to sm pool of water w/ same looking chemical reaction film on top of stagnet water (oil?)
8/5/2025,1:50 PM,17,RF,Riparian_Mid_Gradient,Forb_Grass_Shrub_Sedge,0,85,1,2,2,1,20,10,0,Moderate,10,2,0,6,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,Yes,Yes,No,"Bank sloughing beginning, trampling and grazing along streambank ",Sm_Scale_Drainageleads to sm pool of water 
8/5/2025,3:00 PM,112,RF,Riparian_Mid_Gradient,Forb_Grass_Rush_Pine_Shrub,25,70,25,1,8,1,5,5,5,High ,15,10,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,"2, 7 downstream, 6, 11.5 upstream ",Both,4,Log_Jam ,No ,No ,Yes,No,"Trampling, hoof punch, manure",4 Log_Jams all in a line along the stream making area very wet
8/5/2025,3:00 PM,40,RF,Riparian_Mid_Gradient,Forb_Shrub_Grass_Fir,5,50,10,15,25,25,20,0,0,None ,0,0,0,6,None ,0,NA,Stream ,1,33,NA,33,Stream,"12 upstream, one right at tape, 6, 9, 11, 13 downstream ",Both,6,BDA,No ,Yes,Yes,No,"Hoof punch, grazing, sloughing, trampling, manure",
8/5/2025,3:27 PM,139,RF,Riparian_Mid_Gradient,Shrub_Forb_Fir_Grass,0,5,55,10,10,30,20,0,0,High ,0,0,0,0,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No,No,None,Very rocky and Shrubby 
8/5/2025,3:27 PM,87,RF,Riparian_Mid_Gradient,Forb_Shrub_Pine_Rush_Grass,5,25,40,3,20,30,5,25,0,High ,30,0,0,3,Stream,2,0 and 2.5,None ,0,NA,2,0,Stream,Both are 1 upstream,Upstream,2,BDA,No ,No ,Yes,No,Grazing,The stream splits above the plot and the 2 BDAs are aligned with eachother creating a pool above the plot
8/5/2025,3:48 PM,35,RF,Riparian_Mid_Gradient,"Grass_Forb_Shrub_Pine, Sedge",25,35,20,15,10,20,1,10,5,High ,10,1,1,5,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,"3, 6, 10 downstream",Downstream,3,BDA,No ,No ,Yes,No,Trampling,BDAs look like they were newly installed so trampling around streambank could possibly be from SRWC crew?
8/5/2025,3:48 PM,44,RF,Riparian_Mid_Gradient,Pine_Forb_Grass_Shrub,1,20,20,5,5,20,20,0,0,Moderate,1,1,0,1,None ,0,NA,Stream ,1,12,5,12,Stream,2,NA,2,BDA,No ,Yes,No ,No,"Grazing on banks, bank sloughing, DC present ",Dried side channel running through plot 
8/5/2025,4:21 PM,63,RF,Riparian_Mid_Gradient,Forb_Shrub_Pine,10,40,25,8,10,15,20,1,0,Moderate,5,1,0,4,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,7 downstream,Downstream,2, BDA,No ,No ,Yes,No,"Trampling, and light hoof punch in Dried_Streambed in plot","Dry and wet stream in plot, Dried_Stream also has a BDA in_the_plot "
8/5/2025,4:21 PM,4,RF,Riparian_Mid_Gradient,Pine_Grass_Shrub_Forb,5,25,50,1,1,20,25,20,10,Moderate,0,1,0,1,Stream ,1,0,None ,0,NA,NA,0,Stream,0,Inside,1,Log_Jam ,No ,Yes,Yes,No,"Grazing, hoof punch, bank sloughing",Stream splits at start of plot into 2 sm streams 
8/5/2025,4:42 PM,12,RF,Riparian_Mid_Gradient,Shrub_Grass_Pine_Forb_Rush,20,25,25,0,20,20,5,5,0,Light,0,0,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,0.5,NA,1,Log_Jam ,No ,No ,Yes,No,Light grazing,Log_Jam runs across top of plot w/ large pool of water behind
8/5/2025,4:42 PM,55,RF,Riparian_Mid_Gradient,Shrub_Fir_Forb,1,5,70,1,15,30,15,0,0,None ,0,0,0,0,Sm_Scale_Drainage,1,1,None ,0,NA,NA,1,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,No ,No,None,"Plot on the side of slope with so many Shrub around and in_the_plot, very rocky and steep"
8/6/2025,8:28 AM,42,CM,Subsurface_Low_Gradient,"Pine_Forb_Grass_Shrub, Cedar, Fir",25,30,3,10,10,8,8,0,0,High ,0,0,0,7,Stream ,1,1,None ,0,NA,3,1,Stream,9 downstream,Downstream,1,Log_Jam ,Yes,No ,Yes,Yes,"Trampling, manure,  and bedding along the streambank, possibly incised, hoof punch near Log_Jam, DC downstream","This plot is near our campstie, there is also reminets of burn pile in plot, looks like cattle have recently walked through the plot"
8/6/2025,8:28 AM,102,CM,Dry,Grass_Forb_Fir_Shrub,10,20,5,15,15,30,20,0,0,High ,5,0,0,1,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No ,No,None,"Dried_Stream channel running through plot, burn pile reminets adjacent to plot, trampling looks old and more like tracks "
8/6/2025,8:56 AM,107,CM,Dry,Forb_Grass,5,10,0,15,20,10,3,0,0,None ,15,0,0,1,None ,0,NA,Stream ,2,"41,50","2, 4 ",41,Stream,6 downstream,Downstream,1,Log_Jam ,No ,No ,Yes,No,"Manure, and grazing on streambed","water 2m away is dry, and the one 4m away is wet"
8/6/2025,8:56 AM,143,CM,Dry,Forb_Shrub_Grass_Pine,40,30,5,1,30,1,10,0,0,High ,1,0,0,5,None ,0,NA,Stream,1,31,4,31,Stream,9 downstream,Downstream,1,Log_Jam ,No ,No ,Yes,No,"High grazing, and trampling",Stream pools before it splits
8/6/2025,10:01 AM,113,CM,Dry,Forb_Grass_Shrub_Fir_Pine,5,15,10,10,20,20,1,0,0,Low ,0,0,0,1,Stream ,2,0,None ,0,NA,NA,0,Stream,NA,NA,NA,None,No ,No ,No ,No,None,"Adjacent to road that has water slowly trickling down, deer tracks in_the_plot, stream is dry"
8/6/2025,10:01 AM,2,CM,Discharge_Slope ,Pine_Grass_Forb_Fir_Cedar,40,20,5,0,85,0,5,10,0,Moderate,3,8,0,1,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,Yes,No,"Hoof punch, grazing, light tampling",Almost all grazed besides the tops of some flowers on streambank 
8/6/2025,10:02 AM - 11:22 AM,126,CM,Dry,Forb_Grass_Shrub_Pine ,0,30,1,5,8,50,10,0,0,High ,5,0,0,1,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No ,No,NA,"Conifer encroachment visable, thick tree density, young and old trees, J-Curve (greater diversity of tree ages)"
8/6/2025,10:02 AM - 11:22 AM,77,CM,Dry,Shrub_Grass_Forb,10,20,40,2,40,1,15,0,0,Moderate,1,0,0,2,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No ,No,NA,"Conifer encroachment visable, thick tree density, young and old trees, J-Curve (greater diversity of tree ages)"
8/6/2025,11:23 AM,52,CM,Other,Forb_Grass_Sedge,0,80,0,15,5,5,0,1,0,None ,0,0,0,0,None ,0,NA,Both,2,"9, 20",2.5,9,Sm_Scale_Drainage,1 downstream,Downstream,1,Log_Jam,Yes,No ,No ,No,Possibly starting to become incised,"Deer tracks, bear scat near plot, overall plot is relatively untouched meadow, stream, and sm sclae drainage"
8/6/2025,11:23 AM,45,CM,Other,Forb_Grass_Pine_Fir_Shrub,5,10,5,30,5,10,15,0,0,High ,40,0,0,2,None ,0,NA,Stream,1,36,5,36,Stream,None,NA,0,None,Yes,Yes,Yes,Yes,"Grazing, hoof punch, DC munched, bank sloughing, incised, trampling, manure by and in area surronding stream, and cattle trail crossing stream and going into meadow(mapped on Avenza)","Cattle trail in plot, heavy cattle impact here, possible stream crossing, and conifer encroachment, also we saw cattle when arriving at plot"
8/6/2025,12:31 PM,15,CM,Other,Grass_Pine_Fir_Forb,45,5,1,5,75,1,15,0,0,Moderate,10,0,0,8,None ,0,NA,Stream,1,31,5,31,Stream,None,NA,0,None,Yes,Yes,Yes,Yes,"This plot is upstream from plot #52 w/ Grazing, hoof punch, DC munched, bank sloughing, incised, trampling, manure by and in area surronding stream, and cattle trail crossing stream and going into meadow",Diversity of tree ages with an abundance or pine trees(8)
8/6/2025,12:31 PM,53,CM,Other,Grass_Shrub_Pine_Forb,50,40,30,5,15,20,8,0,0,High ,10,0,0,2,Sm_Scale_Drainage,1,0,Stream,1,8,5,0,Sm_Scale_Drainage,16,NA,1,Log_Jam,Yes,Yes,Yes,Yes,"Grazing, incised, bank sloughing, downstream from large pool of water behind Log_Jam, also this plot is across the stream from plot #15 so it has grazing, hoof punch, DC munched, bank sloughing, incised, trampling, manure by and in area surronding stream, and cattle trail crossing stream and going into meadow","On the south side of plot there's a depression in the ground that's wet w/ trampling and possilby old hoof punch, sm scale driange is dry "
8/6/2025,2:30 PM,123,CM,Other,Cedar_Fir_Grass_Forb_Shrub,40,8,50,15,40,30,15,1,0,None ,0,0,0,0,None ,0,NA,Stream,1,10,5,10,Stream,NA,NA,NA,None,No ,No ,No ,No,,"Almost completely inaccessable, surrounded by thick brush, and lots of rocks crossing stream"
8/6/2025,2:30 PM,131,CM,Other,Shrub_Grass_Cedar,10,1,25,30,15,45,5,0,0,None ,0,0,0,0,Stream ,1,5,None ,0,NA,NA,5,Stream ,NA,NA,NA,None,No ,No ,No ,No,,"On the side of a steep slope, very rocky amd dry, also almost completely inaccessable "
8/11/2025,11:15,106,CM,Other ,Pine_Shrub_Grass_Cedar_Forb,60,20,31,3,40,5,20,0,0,Moderate,20,0,0,6,Sm_Scale_Drainage,1,4,Stream,1,29,3,4,Sm_Scale_Drainage,None,NA,0,None,No ,Yes,Yes,No,"Grazing (heavy), trampling, manure, bank sloughing, hoof punch on streambed","Lots of tramplng near Sm_Scale_Drainageand hoof punch, conifer encroached area"
8/11/2025,11:32,21,CM,Other,Forb_Shrub_Pine_Grass,5,15,25,20,25,40,25,1,0,High ,5,0,0,3,Both ,2,0,None ,0,NA,4,0,Both,"11, 16, 20",NA,3,Log_Jam,No ,Yes,Yes,No,"Manure, bank sloughing (starting), trampling, grazing ","DC outside the plot near stream and they're really small, conifer encroached area, sm scale drainage is dry "
8/11/2025,11:46,28,CM,Other,Pine_Cedar_Grass_Forb_Shrub,30,50,1,10,5,40,10,0,0,High ,10,0,0,4,Sm_Scale_Drainage,1,0,Stream,1,9,4,0,Sm_Scale_Drainage,"8.5, 13, 17 upstream",Upstream,3,Log_Jam,No ,Yes,Yes,No,"Manure, trampling, grazing, bank sloughing (starting)","Approx. 5m away from plot #21, conifer encroached "
8/11/2025,12:25,93,CM,Other,Pine_Grass_Forb_Fir_Cedar,10,75,0,1,10,3,15,0,0,High ,0,0,0,1,None ,0,NA,Both,3,"6, 28, 14",4,6,Sm_Scale_Drainage,"6, 11, 15",NA,3,Log_Jam,Yes,Yes,No ,No,"Incised, bank sloughing (starting)","Fish spotted in stream!, conifer encorached "
8/11/2025,12:38,14,CM,Other,Grass_Forb_Pine,20,90,0,3,10,10,3,0,0,Moderate,50,0,0,11,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,No ,No ,No ,No,NA,"In the last few plots (5) there are a ton of sm scale drainages that might be dry yr round?, conifer encroched, sm scale drainage is dry "
8/11/2025,12:46,72,CM,Other,Grass_Forb_Pine_Shrub,35,25,15,0,35,30,0,0,0,High ,0,0,0,8,None ,0,NA,None ,0,NA,NA,,,None,NA,0,None,No ,No ,Yes,No,NA,"50 precent of plot is old FS road, manure is old, conifer encroached "
8/11/2025,1:00,82,CM,Other,Grass_Pine_Shrub_Forb,30,40,5,10,15,1,25,10,0,High ,10,10,0,2,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,No,"Hoof punch, trampling and grazinf alonf stream bank",Conifer encroached
8/11/2025,1:10,8,CM,Other,Grass_Forb_Shrub_Pine,10,10,3,15,20,3,15,0,0,High ,15,0,0,9,None ,0,NA,Sm_Scale_Drainage,1,7,NA,7,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,No,NA,"Manure is old, conifer encroached, sm scale drainage is dry "
8/11/2025,1:20,147,CM,Other,Grass_Pine_Forb,5,50,0,45,0,5,0,0,0,High ,0,0,0,4,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,No ,No ,No ,No,NA,"Plot is at the end of a FS road, sm scale drainage is dry "
8/11/2025,1:31,61,CM,Other,Grass_Forb_Pine,40,10,0,1,85,15,0,0,0,Low ,5,0,0,0,Sm_Scale_Drainage,1,0,Stream,1,17,5,0,Sm_Scale_Drainage,1 upstream,Upstream,1,Log_Jam,No ,No ,Yes,No,Some grazing but otherwise in good condition ,DC along stream
8/11/2025,1:45,33,CM,Other,Grass_Forb_Shrub_Pine,20,15,20,20,15,10,20,0,0,Low ,20,0,0,2,None ,0,NA,None ,0,NA,NA,NA,NA,None,NA,0,None,No ,No ,No ,No,NA,Conifer encroached
8/11/2025,1:57,86,CM,Dry,Grass_Pine_Forb,15,20,12,0,35,8,15,0,0,Low ,3,0,0,2,Sm_Scale_Drainage,1,4,None ,0,NA,NA,4,Sm_Scale_Drainage,None,NA,0,None,No ,No ,No ,No,NA,"It seems like the HGM classified ""dry"" meadow reaches farther into the HGM classified ""other"" meadow than what's currently represented on the map, conifer encroached, sm scale drainage is dry "
8/11/2025,2:38,89,CM,Dry,Forb_Grass_Shrub_Pine ,10,20,8,20,15,5,5,0,0,Moderate,10,0,0,0,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No ,No,NA,Conifer encroached
8/11/2025,2:54,108,CM,Other,Forb_Grass_Shrub_Pine_Fir_Rush,20,10,10,30,20,30,15,1,0,High ,5,0,0,0,Stream ,1,0,None ,0,NA,3,0,Stream ,1 downstream,Downstream,1,Log_Jam,No ,No ,Yes,No,Grazing,"Flow tracker in stream, fish spotted in stream, incised slighly and DC on bank opposing plot"
8/11/2025,3:06,69,CM,Other,Forb_Grass_Shrub_Pine_Fir_Sedge,40,55,15,0,30,1,5,3,0,Moderate,5,1,0,0,Both ,3,"0, 5",None ,0,NA,"3, 2",0,Both,1 upstream,Upstream,1,Log_Jam,Yes,No ,Yes,No,"Incised (slightly), grazing, hoof punch","We saw cows outside the plot, DC on streambank (munched), stream & Sm_Scale_Drainage_in_the_plot, stream  5m away "
8/11/2025,3:28,25,CM,Subsurface_Low_Gradient,Grass_Forb,1,95,0,3,1,2,1,0,0,Moderate,10,0,0,2,Both ,2,0,None ,0,NA,NA,0,Both,"1 upstream, 1 downstream",Both,2,BDA,Yes,No ,Yes,Yes,"Old hoof punch, trampling on Dried_Streambed that looks like it might be used as a cattle trail, incised (slightly)",sm scale drainage is also dry 
8/12/2025,8:54,54,CM,Lacustrine_Fringe,Pine_Forb_Grass_Sedge_Shrub_Rush,10,65,10,10,8,30,0,5,0,Low ,0,0,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,Yes,No ,Yes,No,"Grazing, incised","No DC in meadow, sloped, old manure outside plot"
8/12/2025,9:10,66,CM,Lacustrine_Fringe,Grass_Forb_Pine_Sedge,5,20,0,50,10,8,0,0,0,None ,0,0,0,1,Sm_Scale_Drainage,1,0,Cabin Meadows Lake,1,37,NA,0,Sm_Scale_Drainage,None,NA,0,None,Yes,No ,Yes,No,"Trampling, hoof punch, manure, severely incised","Tons of manure, tons of frogs in and around lake, "
8/12/2025,9:27,121,CM,Lacustrine_Fringe,Sedge_Grass_Forb_Shrub_Pine,20,30,5,25,10,10,5,0,0,Low ,5,0,0,4,Sm_Scale_Drainage,1,3,None ,0,NA,NA,3,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,No,Grazing,"Manure is old, medusahead is in_the_plot, sm scale drainage is dry "
8/12/2025,9:40,141,CM,Lacustrine_Fringe,Forb_Grass_Sedge,1,90,0,3,3,0,1,0,0,Moderate,5,0,1,7,Stream,1,0,None ,0,NA,NA,0,Stream,None,NA,0,None,Yes,No ,Yes,Yes,"Very incised, lots of trampling, and old hoof punch","Lots of frogs in_the_plot, cattle trail outside the plot, stream is dry and leads to lake "
8/12/2025,10:24,74,CM,Discharge_Slope ,Shrub,30,0,85,0,5,5,10,0,0,None ,0,0,0,0,Sm_Scale_Drainage,2,"4, 4",None ,0,NA,NA,4,Sm_Scale_Drainage,None,NA,0,None,No ,No ,No ,No,Relatively untouched,"DC outside plot and near one of the sm scale drainages, hard to move sround due to abundance of Shrub"
8/12/2025,10:46,94,CM,Dry,Shrub_Forb_Grass_Pine_Fir,3,25,30,20,5,15,5,0,0,Low ,20,0,0,0,Sm_Scale_Drainage,1,3,None ,0,NA,NA,3,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,Yes,"Trampling, grazing, maure, hoof punch",cattle trail through plot ( I didn't mark this exact location on Avenza but other sections of this cattle trail)
8/12/2025,11:00,75,CM,Dry,Grass_Forb_Pine_Rush_Shrub_DC,20,30,5,15,15,10,10,5,3,Moderate,15,0,0,2,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,Yes,"Grazing, trampling downstream",Cattle trail through plot
8/12/2025,11:09,98,CM,Dry ,DC_Grass_Rush_Sedge_Pine_Forb,5,95,0,3,5,3,4,3,5,High ,15,6,3,5,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None ,NA,0,None,No ,No ,Yes,Yes,"Trampling, grazing, maure, hoof punch",Marked several cattle trails leading to meadow in this area
8/12/2025,11:20,38,CM,Dry,Forb_Grass_Shrub_Fir_Pine,40,15,10,5,50,3,10,8,1,Moderate,20,8,1,2,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,6 downstream,Downstream,1,Log_Jam,No ,No ,Yes,No,"Hoof Ppunch, trampling, grazing",Near the Log_Jam there's a pool of stagnent water w/ hoof punch all around it 
8/12/2025,11:30,48,CM,Dry,DC_Grass_Forb_Pine_Sedge,5,40,0,0,0,10,0,10,30,Low ,20,5,5,1,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,No ,No ,Yes,No,"trampling, hoof punch, grazing",Tons of DC in the area
8/12/2025,11:41,91,CM,Dry,Grass_Forb_Pine_Rush_Sedge,5,85,0,7,3,5,15,1,0,Moderate,15,5,0,3,Sm_Scale_Drainage,1,0,None ,0,None,NA,0,Sm_Scale_Drainage,0,Inside,1,Log_Jam,No ,No ,Yes,No,"Hoof punch, tramplig, manure, grazing, possible eutrophication in pool that formed downstream from Log_Jam","Plot has log across it slowing water and creating pool below, and the pool of water has a film on top of it"
8/12/2025,12:15,70,CM,Dry,Grass_Forb_Pine_Rush,3,90,0,5,3,5,3,0,0,Moderate,30,0,0,6,None ,0,NA,Stream,1,8,2,8,Stream,4 upstream,Upstream,1,Log_Jam,No ,No ,Yes,No,"Manure, trampling, hoof punch, grazing",DC present near stream
8/12/2025,12:31,84,CM,Dry,Fir_Pine_Shrub_Grass_Forb_Rush,20,45,15,5,10,10,20,8,0,High ,5,5,0,5,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,None,NA,0,None,Yes,No ,Yes,No,"Incised, trampling, hoof punch, grazing, manure","Manure is old and new, marked location on Avenza"
