,,,,,,,,,,,,,,,,,,,,,,,,
date,observer,species,rf 1 a,rf 2 p,rf 3 a,rf 4 p,rf 5 a,rf 6 a,rf 7 a,rf 8 a,rf 9 p,cm 10 a,cm 11 a,cm 12 p,cm 13 a,cm 14 a,cm 15 p,cm 16 p,cm 17 a,cm 18 p,cm 19 a,control ,notes,habitat type
2023-12-08,S/M/K,Flat crazy grass,,,,,,,,,,1,,,1,,,1,,,,,,w
2023-12-08,S/M/K,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2023-12-08,S/M/K,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2023-12-08,S/M/K,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-08,S/M/K,Unidentifed rush ,,,1,,,,,,,1,,,,,,,,,,,,w
2023-12-08,S/M/K,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2023-12-08,S/M/K,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-08,S/M/K,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2023-12-08,S/M/K,Thin flat grass ,,,4,,,,,,,,1,,,,,,,,,,,w
2023-12-08,S/M/K,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2023-12-08,S/M/K,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2023-12-17,S/M,Flat crazy grass,,,,,,,,,,1,,,1,,,1,,,,,,w
2023-12-17,S/M,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2023-12-17,S/M,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2023-12-17,S/M,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-17,S/M,Unidentifed rush ,,,1,,,,,,,1,,,,,,,,,,,,w
2023-12-17,S/M,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2023-12-17,S/M,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-17,S/M,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2023-12-17,S/M,Thin flat grass ,,,4,,,,,,,,1,,,,,,,,,,,w
2023-12-17,S/M,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2023-12-17,S/M,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-01-05,S/M,Flat crazy grass,,,,1,,,,,,1,,,1,,,1,,,,,,w
2024-01-05,S/M,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2024-01-05,S/M,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-05,S/M,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-05,S/M,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-05,S/M,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2024-01-05,S/M,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2024-01-05,S/M,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2024-01-05,S/M,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
2024-01-05,S/M,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2024-01-05,S/M,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-01-12,S/M,Flat crazy grass,,,,1,,,,,,1,,,,,,1,,,,,,w
2024-01-12,S/M,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2024-01-12,S/M,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-12,S/M,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-12,S/M,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-12,S/M,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2024-01-12,S/M,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2024-01-12,S/M,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2024-01-12,S/M,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
2024-01-12,S/M,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2024-01-12,S/M,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-01-26,Madi,Flat crazy grass,,,,1,,,,,,1,,,1,,,1,,,,,,w
2024-01-26,Madi,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2024-01-26,Madi,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-26,Madi,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-26,Madi,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2024-01-26,Madi,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2024-01-26,Madi,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2024-01-26,Madi,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2024-01-26,Madi,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
2024-01-26,Madi,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2024-01-26,Madi,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-01-26,Madi,Two round leaved sprout w/ clover,,,,,,,,,,,,,,1,,,,,,,,w
2024-02-02,Kennedy,Flat crazy grass,,,,1,,,,,,1,,,1,,,1,,,,,,w
2024-02-02,Kennedy,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2024-02-02,Kennedy,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-02,Kennedy,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-02,Kennedy,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-02,Kennedy,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2024-02-02,Kennedy,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2024-02-02,Kennedy,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2024-02-02,Kennedy,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
2024-02-02,Kennedy,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2024-02-02,Kennedy,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-02-02,Kennedy,Two round leaved sprout w/ clover,,,,,,,,,,,,,,1,,,,,,,,w
2024-02-09,S/M/K,Flat crazy grass,,,,1,,,,,,1,,,1,,,1,,,,,,w
2024-02-09,S/M/K,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2024-02-09,S/M/K,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-09,S/M/K,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-09,S/M/K,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2024-02-09,S/M/K,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,,,,,w
2024-02-09,S/M/K,Hairy dan ,,,1,,,,,,,,,,,,,,,,1,,,w
2024-02-09,S/M/K,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,,,,w
2024-02-09,S/M/K,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
2024-02-09,S/M/K,Hairy oval leaf ,,,,,,,,,,,,,,,,,,,1,,,w
2024-02-09,S/M/K,Tiny spear leaf ,,,,,,,,,,,,,,,,,,1,,,,w
2024-02-09,S/M/K,Two round leaved sprout w/ clover,,,,,,,,,,,,,,1,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,,,w
