date,meadow,transect,plot,species code,notes
7/21/23,rock fence,rf2,rf8a,sidore,
7/21/23,rock fence,rf2,rf8a,junsp,
7/21/23,rock fence,rf2,rf8a,cerarv,
7/21/23,rock fence,rf2,rf8a,unkfb,
7/21/23,rock fence,rf2,rf8a,nocfen,
7/21/23,rock fence,rf2,rf9p,abicon,
7/21/23,rock fence,rf2,rf9p,lincal,
7/21/23,rock fence,rf2,rf9p,vioadu,
7/21/23,rock fence,rf2,rf9p,cirsp,
7/21/23,rock fence,rf2,rf9p,spispl,
7/21/23,rock fence,rf2,rf9p,helbig,
7/21/23,rock fence,rf2,rf9p,trilon,
7/21/23,rock fence,rf2,rf9p,unkfab,
7/21/23,rock fence,rf2,rf9p,potgra,
7/21/23,rock fence,rf2,rf9p,sidore,
7/21/23,rock fence,rf2,rf9p,carsp,
9/18/23,rock fence,rf2,rf9p,achmil,
9/18/23,rock fence,rf2,rf9p,genama,
7/21/23,cabin meadows,cm8,cm10a,bisbis,
7/21/23,cabin meadows,cm8,cm10a,trilon,
7/21/23,cabin meadows,cm8,cm10a,hasalb,
7/21/23,cabin meadows,cm8,cm10a,carsp,
7/21/23,cabin meadows,cm8,cm10a,danuni,
7/21/23,cabin meadows,cm8,cm10a,unkgra,unknown wheat-like grass
7/21/23,cabin meadows,cm8,cm10a,gencal,fleshy-leaved basal rosette
7/21/23,cabin meadows,cm8,cm10a,descae,
9/18/23,cabin meadows,cm8,cm10a,orealp,
9/18/23,cabin meadows,cm8,cm10a,achmil,
9/18/23,cabin meadows,cm8,cm10a,unkfab,
9/18/23,cabin meadows,cm8,cm10a,unkgra,unknown melica-like grass (maybe deschampsia?)
7/21/23,cabin meadows,cm8,cm11a,elesp,
7/21/23,cabin meadows,cm8,cm11a,carsp,
7/21/23,cabin meadows,cm8,cm11a,bisbis,
7/21/23,cabin meadows,cm8,cm11a,vioadu,
7/21/23,cabin meadows,cm8,cm11a,gencal,fleshy-leaved basal rosette
7/21/23,cabin meadows,cm8,cm11a,pincon,
7/21/23,cabin meadows,cm8,cm11a,erylin,
9/18/23,cabin meadows,cm8,cm11a,orealp,
9/18/23,cabin meadows,cm8,cm11a,unkgra,unknown melica-like grass (maybe deschampsia?)
7/21/23,cabin meadows,cm8,cm12p,pinmon,
7/21/23,cabin meadows,cm8,cm12p,spispl,
7/21/23,cabin meadows,cm8,cm12p,lincal,
7/21/23,cabin meadows,cm8,cm12p,pincon,
7/21/23,cabin meadows,cm8,cm12p,abicon,
7/21/23,cabin meadows,cm8,cm12p,unkeri,
7/21/23,cabin meadows,cm8,cm12p,schjam,
7/21/23,cabin meadows,cm8,cm12p,unkgra,
7/21/23,cabin meadows,cm8,cm12p,carmul,
7/21/23,cabin meadows,cm8,cm12p,anedru,
7/21/23,cabin meadows,cm8,cm12p,unkapi,
7/21/23,cabin meadows,cm8,cm13a,trilon,
7/21/23,cabin meadows,cm8,cm13a,lincal,
7/21/23,cabin meadows,cm8,cm13a,bisbis,
7/21/23,cabin meadows,cm8,cm13a,dancal,
7/21/23,cabin meadows,cm8,cm13a,junsp,
7/21/23,cabin meadows,cm8,cm13a,hasalb,
7/21/23,cabin meadows,cm8,cm13a,schjam,
7/21/23,cabin meadows,cm8,cm13a,descae,
7/21/23,cabin meadows,cm8,cm13a,vioadu,
9/18/23,cabin meadows,cm8,cm13a,unkgra,unknown melica-like grass (maybe deschampsia?)
7/21/23,cabin meadows,cm9?,cm14a,trilon,**double-check transect number for this set of plots
7/21/23,cabin meadows,cm9?,cm14a,danuni,
7/21/23,cabin meadows,cm9?,cm14a,carsp,
7/21/23,cabin meadows,cm9?,cm14a,unkfab,same
7/21/23,cabin meadows,cm9?,cm14a,prijef,
7/21/23,cabin meadows,cm9?,cm14a,elesp,
7/21/23,cabin meadows,cm9?,cm14a,gencal,fleshy-leaved basal rosette
7/21/23,cabin meadows,cm9?,cm15p,bisbis,
7/21/23,cabin meadows,cm9?,cm15p,trilon,
7/21/23,cabin meadows,cm9?,cm15p,pincon,
7/21/23,cabin meadows,cm9?,cm15p,achmil,
7/21/23,cabin meadows,cm9?,cm15p,potgra,
7/21/23,cabin meadows,cm9?,cm15p,danuni,
7/21/23,cabin meadows,cm9?,cm15p,erylan,
7/21/23,cabin meadows,cm9?,cm15p,phapri,
7/21/23,cabin meadows,cm9?,cm15p,unkfab,
7/21/23,cabin meadows,cm9?,cm15p,coltra,
7/21/23,cabin meadows,cm9?,cm15p,junsp,
7/21/23,cabin meadows,cm9?,cm15p,elyely,
7/21/23,cabin meadows,cm9?,cm15p,descae,
7/21/23,cabin meadows,cm9?,cm16p,potgra,
7/21/23,cabin meadows,cm9?,cm16p,trilon,
7/21/23,cabin meadows,cm9?,cm16p,nocfen,
7/21/23,cabin meadows,cm9?,cm16p,achmil,
7/21/23,cabin meadows,cm9?,cm16p,abicon,
7/21/23,cabin meadows,cm9?,cm16p,bisbis,
7/21/23,cabin meadows,cm9?,cm16p,danuni,
7/21/23,cabin meadows,cm9?,cm16p,helbig,
7/21/23,cabin meadows,cm9?,cm16p,unkast,same
7/21/23,cabin meadows,cm9?,cm16p,cerarv,
7/21/23,cabin meadows,cm9?,cm16p,unkfab,
7/21/23,cabin meadows,cm9?,cm16p,junsp,
7/21/23,cabin meadows,cm9?,cm16p,unkfb,maybe epilobium?
7/21/23,cabin meadows,cm9?,cm16p,lincal,
7/21/23,cabin meadows,cm9?,cm16p,lewsp,"*not sure, this was a student ID and would be good to double-check"
7/21/23,cabin meadows,cm9?,cm16p,vioadu,
7/21/23,cabin meadows,cm7?,cm17a,trilon,
7/21/23,cabin meadows,cm7?,cm17a,unkast,same
7/21/23,cabin meadows,cm7?,cm17a,junsp,
7/21/23,cabin meadows,cm7?,cm17a,sisida,
7/21/23,cabin meadows,cm7?,cm17a,deselo,
7/21/23,cabin meadows,cm7?,cm17a,helbig,
7/21/23,cabin meadows,cm7?,cm17a,carsp,
7/21/23,cabin meadows,cm7?,cm17a,danuni,
7/21/23,cabin meadows,cm7?,cm17a,hasalb,
7/21/23,cabin meadows,cm7?,cm17a,cerarv,
9/18/23,cabin meadows,cm7?,cm17a,symspa,
9/18/23,cabin meadows,cm7?,cm17a,unkgra,unknown melica-like grass (maybe deschampsia?)
7/21/23,cabin meadows,cm7?,cm18p,sidore,
7/21/23,cabin meadows,cm7?,cm18p,achmil,
7/21/23,cabin meadows,cm7?,cm18p,lincal,
7/21/23,cabin meadows,cm7?,cm18p,potgra,
7/21/23,cabin meadows,cm7?,cm18p,trilon,
7/21/23,cabin meadows,cm7?,cm18p,carsp,
7/21/23,cabin meadows,cm7?,cm18p,nocfen,
7/21/23,cabin meadows,cm7?,cm18p,unkfab,
7/21/23,cabin meadows,cm7?,cm18p,phapri,
7/21/23,cabin meadows,cm7?,cm18p,unkgra,
7/21/23,cabin meadows,cm7?,cm18p,danuni,
9/18/23,cabin meadows,cm7?,cm18p,sidore,
7/21/23,cabin meadows,cm7?,cm19a,darcal,
7/21/23,cabin meadows,cm7?,cm19a,trilon,
7/21/23,cabin meadows,cm7?,cm19a,helbig,
7/21/23,cabin meadows,cm7?,cm19a,hasalb,
7/21/23,cabin meadows,cm7?,cm19a,carsp,
7/21/23,cabin meadows,cm7?,cm19a,junsp,
7/21/23,cabin meadows,cm7?,cm19a,sisida,
7/21/23,cabin meadows,cm7?,cm19a,unkfab,
9/18/23,cabin meadows,cm7?,cm19a,junens,
9/18/23,cabin meadows,cm7?,cm19a,potgra,
9/18/23,cabin meadows,cm7?,cm19a,orealp,
9/18/23,cabin meadows,cm7?,cm19a,gencal,
9/18/23,cabin meadows,cm7?,cm19a,vioadu,
