FID,CID,F1,Plot,Watershed,HGM,Percent_Ca,Percent_He,Percent_Sh,Percent_Ba,Percent_Li,Percent_Ro,Percent_Wo,Percent_Wa,Percent_DC,Grazing_In,Percent_Tr,Percent_Ho,Percent__1,Manure_Cou,Closest_Wa,Water_Type,Restoratio,Stream_Res,Incised,Bank_Sloug,Cattle_Imp,Cattle_Tra,OBJECTID_1,Field,NEAR_FID,NEAR_DIST,MEADOW_FID,MEADOW_DIST
19,1,106,19,CM,Other,0,75,0,5,0,10,15,0,5,Moderate,1,0,10,3,9,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,106,0,1,1497.83408,76,0
20,1,147,20,CM,Other,0,8,0,30,15,15,5,0,0,Moderate,5,0,0,4,33,Stream,Both,Log_Jam,No,Yes,Yes,No,147,0,1,1826.703769,76,0
21,1,46,21,CM,Other,5,15,25,20,25,40,25,1,0,High,5,0,0,3,0,Both,NA,Log_Jam,No,Yes,Yes,No,46,0,1,2504.994971,66,0
22,1,89,22,CM,Riparian_High_Gradient,0,90,0,3,0,5,2,1,0,Low,20,1,0,1,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,89,0,1,827.0611744,67,0
23,1,118,23,CM,Riparian_High_Gradient,5,25,0,1,20,15,10,0,1,High,5,0,0,7,5,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,Yes,118,0,1,1612.498959,67,0
24,1,114,24,CM,Riparian_High_Gradient,5,45,5,0,15,10,5,0,0,High,8,0,0,1,3,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,114,0,1,1537.801083,67,0
25,1,60,25,CM,Subsurface_Low_Gradient,1,95,0,3,1,2,1,0,0,Moderate,10,0,0,2,0,Both,Both,BDA,Yes,No,Yes,Yes,60,0,1,2216.957272,64,0
26,1,99,26,CM,Subsurface_High_Gradient,50,15,20,5,25,0,0,5,0,High,10,10,0,5,14,Stream,NA,None,No,Yes,Yes,No,99,0,1,1531.548002,65,0
27,1,146,27,CM,Other,20,25,0,5,20,18,10,0,0,High,5,0,0,5,50,Stream,Downstream,Log_Jam,No,Yes,Yes,No,146,0,1,1844.195816,76,0
28,1,47,28,CM,Other,30,50,1,10,5,40,10,0,0,High,10,0,0,4,0,Sm_Scale_Drainage,Upstream,Log_Jam,No,Yes,Yes,No,47,0,1,2505.951756,66,0
29,1,9,29,CM,Dry,15,20,25,5,NA,5,15,0,0,Moderate,20,0,0,2,1,Stream,NA,None,Yes,Yes,No,No,9,0,1,4755.6211,59,0
30,1,137,30,RF,Subsurface_Low_Gradient,0,95,0,3,0,0,0,2,0,Low,15,5,0,2,1,Pond,Inside,BDA,No,No,Yes,No,137,0,2,666.6031351,90,0
31,1,139,31,RF,Riparian_Mid_Gradient,20,25,25,1,15,35,1,10,10,Low,10,15,1,1,0,Sm_Scale_Drainage,Inside,Both,No,No,Yes,Yes,139,0,2,1265.555289,98,0
32,1,127,32,CM,Other,10,15,10,20,5,30,7,20,3,Low,0,1,0,1,0,Stream,Upstream,Log_Jam,No,No,Yes,No,127,0,1,1927.158689,17,0
33,1,55,33,CM,Other,20,15,20,20,15,10,20,0,0,Low,20,0,0,2,NA,NA,NA,None,No,No,No,No,55,0,1,2285.912188,66,0
34,1,108,34,CM,Mound_Peatland,10,20,1,5,20,20,15,0,0,High,0,0,0,0,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,108,0,1,1404.163605,86,0
35,1,25,35,RF,Riparian_Mid_Gradient,25,35,20,15,10,20,1,10,5,High,10,1,1,5,0,Sm_Scale_Drainage,Downstream,BDA,No,No,Yes,No,25,0,2,1898.46585,98,0
36,1,121,36,CM,Riparian_High_Gradient,10,15,0,20,10,15,8,0,0,Low,15,0,0,0,32,Stream,NA,None,No,No,Yes,Yes,121,0,1,1683.711457,17,0
37,1,16,37,RF,Riparian_Mid_Gradient,15,30,1,30,20,8,0,0,0,Low,20,0,0,9,2,Sm_Scale_Drainage,Upstream,BDA,No,Yes,Yes,No,16,0,2,1396.50006,98,0
38,1,69,38,CM,Dry,40,15,10,5,50,3,10,8,1,Moderate,20,8,1,2,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,69,0,1,2284.266368,80,0
39,1,135,39,RF,Riparian_Mid_Gradient,15,30,12,5,5,12,25,10,15,Moderate,3,3,8,3,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,135,0,2,1125.154204,98,0
40,1,22,40,RF,Riparian_Mid_Gradient,5,50,10,15,25,25,20,0,0,None,0,0,0,6,33,Stream,Both,BDA,No,Yes,Yes,No,22,0,2,1822.998048,98,0
41,1,119,41,CM,Riparian_High_Gradient,10,20,10,5,10,25,10,25,1,High,10,10,0,0,0,Stream,Inside,Log_Jam,Yes,No,Yes,No,119,0,1,1629.692696,67,0
42,1,31,42,CM,Subsurface_Low_Gradient,25,30,3,10,10,8,8,0,0,High,0,0,0,7,1,Stream,Downstream,Log_Jam,Yes,No,Yes,Yes,31,0,1,4385.23416,58,0
43,1,105,43,CM,Other,0,75,0,15,0,0,0,1,0,Moderate,60,10,0,5,0,Sm_Scale_Drainage,Inside,Log_Jam,Yes,Yes,Yes,No,105,0,1,1416.126124,76,0
44,1,26,44,RF,Riparian_Mid_Gradient,1,20,20,5,5,20,20,0,0,Moderate,1,1,0,1,12,Stream,NA,BDA,No,Yes,No,No,26,0,2,1944.626726,98,0
45,1,40,45,CM,Other,5,10,5,30,5,10,15,0,0,High,40,0,0,2,36,Stream,NA,None,Yes,Yes,Yes,Yes,40,0,1,2631.663675,66,0
46,1,88,46,CM,Riparian_High_Gradient,0,85,0,3,0,8,0,1,0,High,25,5,0,10,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,88,0,1,722.7100463,67,0
47,1,113,47,CM,Riparian_High_Gradient,10,75,0,5,15,10,1,10,5,High,0,7,5,6,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,113,0,1,1548.543123,67,0
48,1,70,48,CM,Dry,5,40,0,0,0,10,0,10,30,Low,20,5,5,1,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,70,0,1,2184.743161,80,0
49,1,7,49,CM,Discharge_Slope,45,1,5,5,NA,0,5,0,0,None,0,0,0,25,NA,NA,NA,None,No,No,Yes,No,7,0,1,5646.538748,54,0
50,1,104,50,CM,Other,30,10,30,10,25,15,10,0,0,Low,5,0,0,0,17,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,104,0,1,1300.809043,76,0
51,1,11,51,CM,Riparian_High_Gradient,0,90,0,5,NA,5,1,20,20,Moderate,0,10,2,3,0,Sm_Scale_Drainage,NA,Log_Jam,Yes,Yes,Yes,No,11,0,1,1420.542344,67,0
52,1,39,52,CM,Other,0,80,0,15,5,5,0,1,0,None,0,0,0,0,9,Sm_Scale_Drainage,Downstream,Log_Jam,Yes,No,No,No,39,0,1,3313.33602,53,0
53,1,42,53,CM,Other,50,40,30,5,15,20,8,0,0,High,10,0,0,2,0,Sm_Scale_Drainage,NA,Log_Jam,Yes,Yes,Yes,Yes,42,0,1,2557.399918,66,0
54,1,61,54,CM,Lacustrine_Fringe,10,65,10,10,8,30,0,5,0,Low,0,0,0,0,0,Sm_Scale_Drainage,NA,None,Yes,No,Yes,No,61,0,1,1186.715209,33,0
55,1,30,55,RF,Riparian_Mid_Gradient,1,5,70,1,15,30,15,0,0,None,0,0,0,0,1,Sm_Scale_Drainage,NA,None,No,No,No,No,30,0,2,2091.67426,98,0
56,1,93,56,CM,Other,25,30,30,10,15,20,5,0,0,Moderate,10,0,0,2,2,Sm_Scale_Drainage,NA,None,No,No,Yes,No,93,0,1,864.3959994,18,0
57,1,131,57,RF,Riparian_Mid_Gradient,5,10,50,8,15,40,0,0,0,None,0,0,0,0,NA,NA,NA,None,No,No,No,No,131,0,2,1271.057682,98,0
58,1,102,58,CM,Depressional_Perenial,40,40,10,10,10,15,0,0,0,High,20,0,0,0,4,Sm_Scale_Drainage,Upstream,Log_Jam,Yes,No,Yes,Yes,102,0,1,965.4766981,88,0
59,1,134,59,RF,Riparian_Mid_Gradient,3,50,5,5,10,5,3,10,35,Moderate,15,10,20,3,0,Sm_Scale_Drainage,Both,Log_Jam,No,No,Yes,No,134,0,2,1103.128586,48,0
60,1,92,60,CM,Dry,5,35,25,5,15,20,0,10,0,Moderate,20,1,0,2,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,92,0,1,777.7356427,71,0
61,1,54,61,CM,Other,40,10,0,1,85,15,0,0,0,Low,5,0,0,0,0,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,54,0,1,2208.723626,66,0
62,1,82,62,CM,Discharge_Slope,5,60,25,1,3,20,1,5,20,High,12,10,1,1,0,Sm_Scale_Drainage,NA,None,Yes,No,Yes,No,82,0,1,90.2733717,73,0
63,1,27,63,RF,Riparian_Mid_Gradient,10,40,25,8,10,15,20,1,0,Moderate,5,1,0,4,0,Sm_Scale_Drainage,Downstream, BDA,No,No,Yes,No,27,0,2,1971.801786,98,0
64,1,133,64,RF,Riparian_Mid_Gradient,0,10,15,0,5,75,0,1,0,None,0,0,0,0,0,Sm_Scale_Drainage,NA,None,No,No,No,No,133,0,2,1051.257754,98,0
65,1,77,65,CM,Depressional_Seasonal,1,20,5,15,5,25,15,0,0,High,45,0,0,5,0,Stream,Inside,Log_Jam,No,Yes,No,No,77,0,1,566.0164392,74,0
66,1,62,66,CM,Lacustrine_Fringe,5,20,0,50,10,8,0,0,0,None,0,0,0,1,0,Sm_Scale_Drainage,NA,None,Yes,No,Yes,No,62,0,1,1377.708352,33,0
67,1,95,67,CM,Other,50,20,5,30,20,5,5,5,0,High,3,7,0,11,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,95,0,1,913.0796072,68,0
68,1,2,68,CM,Discharge_Slope,5,10,NA,80,NA,30,15,0,0,None,0,0,0,0,NA,NA,NA,None,No,No,No,No,2,0,1,5672.478897,4,0
69,1,59,69,CM,Other,40,55,15,0,30,1,5,3,0,Moderate,5,1,0,0,0,Both,Upstream,Log_Jam,Yes,No,Yes,No,59,0,1,2325.829626,66,0
70,1,72,70,CM,Dry,3,90,0,5,3,5,3,0,0,Moderate,30,0,0,6,8,Stream,Upstream,Log_Jam,No,No,Yes,No,72,0,1,2100.500156,80,0
71,1,111,71,CM,Riparian_High_Gradient,20,40,5,5,25,3,15,8,15,Moderate,12,3,5,4,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,111,0,1,1451.826436,67,0
72,1,50,72,CM,Other,35,25,15,0,35,30,0,0,0,High,0,0,0,8,NA, ,NA,None,No,No,Yes,No,50,0,1,2501.960182,16,0
73,1,3,73,CM,Discharge_Slope,0,90,NA,0,NA,5,0,8,70,None,0,0,0,0,0,Sm_Scale_Drainage,NA,None,No,No,No,No,3,0,1,5616.664745,54,0
74,1,65,74,CM,Discharge_Slope,30,0,85,0,5,5,10,0,0,None,0,0,0,0,4,Sm_Scale_Drainage,NA,None,No,No,No,No,65,0,1,1747.115925,82,0
75,1,67,75,CM,Dry,20,30,5,15,15,10,10,5,3,Moderate,15,0,0,2,0,Sm_Scale_Drainage,NA,None,No,No,Yes,Yes,67,0,1,2321.009496,30,0
76,1,17,76,RF,Riparian_Mid_Gradient,20,10,8,5,20,25,15,0,0,None,20,0,0,4,19,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,17,0,2,1493.28411,98,0
77,1,38,77,CM,Dry,10,20,40,2,40,1,15,0,0,Moderate,1,0,0,2,NA,NA,NA,None,No,No,No,No,38,0,1,3633.646313,63,0
78,1,15,78,RF,Riparian_Mid_Gradient,70,1,3,0,95,0,0,0,0,None,25,0,0,6,NA,NA,NA,None,No,No,Yes,No,15,0,2,1641.406529,98,0
79,1,12,79,RF,Riparian_Mid_Gradient,1,95,0,1,NA,0,2,1,0,High,0,10,0,6,0.5,Sm_Scale_Drainage,NA,Log_Jam,No,No,Yes,No,12,0,2,1763.287837,98,0
80,1,132,80,RF,Riparian_Mid_Gradient,10,40,40,0,0,25,10,8,0,None,0,0,0,0,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,No,No,132,0,2,1065.469133,98,0
81,1,83,81,CM,Discharge_Slope,0,90,3,0,0,0,0,3,7,Low,10,7,0,1,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,83,0,1,200.5582372,73,0
82,1,51,82,CM,Other,30,40,5,10,15,1,25,10,0,High,10,10,0,2,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,51,0,1,2354.522156,66,0
83,1,141,83,CM,Other,10,30,10,10,20,15,8,0,0,Moderate,0,0,0,0,1,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,141,0,1,1943.150524,76,0
84,1,73,84,CM,Dry,20,45,15,5,10,10,20,8,0,High,5,5,0,5,0,Sm_Scale_Drainage,NA,None,Yes,No,Yes,No,73,0,1,2130.204221,80,0
85,1,149,85,CM,Riparian_High_Gradient,15,70,10,20,5,5,3,1,0,High,8,5,0,5,0.5,Sm_Scale_Drainage,NA,None,No,Yes,Yes,No,149,0,1,809.5760165,67,0
86,1,56,86,CM,Dry,15,20,12,0,35,8,15,0,0,Low,3,0,0,2,4,Sm_Scale_Drainage,NA,None,No,No,No,No,56,0,1,2297.317107,16,0
87,1,24,87,RF,Riparian_Mid_Gradient,5,25,40,3,20,30,5,25,0,High,30,0,0,3,0,Stream,Upstream,BDA,No,No,Yes,No,24,0,2,1857.652109,98,0
88,1,57,89,CM,Dry,10,20,8,20,15,5,5,0,0,Moderate,10,0,0,0,NA,NA,NA,None,No,No,No,No,57,0,1,2301.36104,80,0
89,1,138,90,RF,Riparian_Mid_Gradient,3,50,2,3,2,1,5,5,30,Moderate,25,3,25,2,0,Sm_Scale_Drainage,Inside,Both,Yes,Yes,Yes,No,138,0,2,1181.315952,98,0
90,1,71,91,CM,Dry,5,85,0,7,3,5,15,1,0,Moderate,15,5,0,3,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,71,0,1,2149.347937,80,0
91,1,130,92,RF,Dry,20,8,80,5,15,3,10,0,0,Low,3,0,0,2,43,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,130,0,2,1528.405521,100,0
92,1,48,93,CM,Other,10,75,0,1,10,3,15,0,0,High,0,0,0,1,6,Sm_Scale_Drainage,NA,Log_Jam,Yes,Yes,No,No,48,0,1,2509.097779,66,0
93,1,66,94,CM,Dry,3,25,30,20,5,15,5,0,0,Low,20,0,0,0,3,Sm_Scale_Drainage,NA,None,No,No,Yes,Yes,66,0,1,2306.757131,80,0
94,1,18,95,RF,Riparian_Mid_Gradient,5,90,0,5,0,1,20,25,0,Low,25,30,0,2,NA,NA,Upstream,Log_Jam,Yes,No,Yes,No,18,0,2,1605.47094,98,0
95,1,125,96,CM,Other,0,12,0,30,20,10,15,0,0,High,50,0,0,3,28,Stream,Upstream,Log_Jam,Yes,No,Yes,No,125,0,1,1869.418344,76,0
96,1,90,97,CM,Riparian_High_Gradient,15,5,5,15,10,15,50,0,0,Low,10,0,0,0,12,Sm_Scale_Drainage,Upstream,Log_Jam,Yes,Yes,Yes,No,90,0,1,923.2264052,67,0
97,1,68,98,CM,Dry,5,95,0,3,5,3,4,3,5,High,15,6,3,5,0,Sm_Scale_Drainage,NA,None,No,No,Yes,Yes,68,0,1,2314.583082,80,0
98,1,80,99,CM,Depressional_Seasonal,3,60,3,3,10,7,5,1,0,Moderate,8,0,0,2,0,Sm_Scale_Drainage,NA,None,Yes,Yes,No,No,80,0,1,313.3304475,74,0
99,1,122,100,CM,Riparian_High_Gradient,20,10,30,20,15,20,5,0,0,Moderate,15,0,0,0,7,Sm_Scale_Drainage,Both,Log_Jam,No,No,Yes,No,122,0,1,1802.813495,67,0
100,1,87,101,CM,Riparian_High_Gradient,5,45,0,3,2,3,30,10,10,Moderate,8,1,0,1,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,87,0,1,747.4550539,67,0
101,1,32,102,CM,Dry,10,20,5,15,15,30,20,0,0,High,5,0,0,1,NA,NA,NA,None,No,No,No,No,32,0,1,4621.739422,59,0
102,1,101,103,CM,Depressional_Perenial,30,10,25,1,25,15,15,0,0,None,2,0,0,1,4,Stream,Both,Log_Jam,Yes,Yes,Yes,No,101,0,1,920.1092672,38,0
103,1,142,104,CM,Other,10,20,1,10,20,12,5,0,0,High,0,0,0,1,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,142,0,1,1929.555852,76,0
104,1,96,105,CM,Other,25,3,35,10,15,12,30,0,0,Low,1,0,0,2,9,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,96,0,1,1005.618574,18,0
105,1,45,106,CM,Other,60,20,31,3,40,5,20,0,0,Moderate,20,0,0,6,4,Sm_Scale_Drainage,NA,None,No,Yes,Yes,No,45,0,1,2547.061156,66,0
106,1,33,107,CM,Dry,5,10,0,15,20,10,3,0,0,None,15,0,0,1,41,Stream,Downstream,Log_Jam,No,No,Yes,No,33,0,1,4510.792916,59,0
107,1,58,108,CM,Other,20,10,10,30,20,30,15,1,0,High,5,0,0,0,0,Stream,Downstream,Log_Jam,No,No,Yes,No,58,0,1,2281.173394,66,0
108,1,91,109,CM,Riparian_High_Gradient,0,80,0,10,0,0,0,10,0,Moderate,10,1,0,4,0,Sm_Scale_Drainage,Upstream,Log_Jam,Yes,Yes,Yes,No,91,0,1,927.0909183,67,0
109,1,97,110,CM,Subsurface_High_Gradient,0,40,1,15,15,5,25,0,0,None,10,0,0,0,NA,NA,NA,None,No,No,No,No,97,0,1,1347.024576,65,0
110,1,1,111,CM,Discharge_Slope,20,90,NA,3,NA,0,5,7,12,None,0,0,0,0,0,Sm_Scale_Drainage,NA,None,No,No,No,No,1,0,1,5682.087989,54,0
111,1,21,112,RF,Riparian_Mid_Gradient,25,70,25,1,8,1,5,5,5,High,15,10,0,0,0,Sm_Scale_Drainage,Both,Log_Jam,No,No,Yes,No,21,0,2,1822.730972,98,0
112,1,35,113,CM,Dry,5,15,10,10,20,20,1,0,0,Low,0,0,0,1,0,Stream,NA,None,No,No,No,No,35,0,1,3564.158885,13,0
113,1,98,114,CM,Subsurface_High_Gradient,0,30,0,10,5,5,30,0,0,High,10,0,0,4,1,Sm_Scale_Drainage,NA,None,No,No,Yes,No,98,0,1,1388.879436,65,0
114,1,79,115,CM,Depressional_Seasonal,15,55,25,5,5,3,7,0,0,High,10,0,0,2,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,Yes,79,0,1,459.4896806,74,0
115,1,136,116,RF,Subsurface_Low_Gradient,10,75,0,10,3,30,3,5,8,Moderate,15,5,0,2,0,Sm_Scale_Drainage,Upstream,BDA,No,No,Yes,No,136,0,2,734.9648112,90,0
116,1,14,117,RF,Riparian_Mid_Gradient,25,3,20,5,NA,25,8,0,0,Low,0,0,0,2,7,Stream,Both,Both,Yes,No,No,No,14,0,2,1771.45402,98,0
117,1,85,118,CM,Discharge_Slope,10,80,3,5,3,5,0,5,3,Moderate,5,7,1,3,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,85,0,1,335.7353256,73,0
118,1,94,119,CM,Other,0,90,1,0,0,1,0,10,0,Moderate,0,1,0,4,0,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,94,0,1,887.3678683,68,0
119,1,10,120,CM,Dry,5,30,3,5,NA,15,1,1,0,Low,5,0,0,2,14,Stream,Downstream,Log_Jam,No,Yes,Yes,No,10,0,1,4584.205683,9,0
120,1,63,121,CM,Lacustrine_Fringe,20,30,5,25,10,10,5,0,0,Low,5,0,0,4,3,Sm_Scale_Drainage,NA,None,No,No,Yes,No,63,0,1,1338.04357,83,0
121,1,145,122,CM,Other,5,85,0,0,3,8,3,10,8,High,50,3,10,3,0,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,145,0,1,1706.797029,76,0
122,1,43,123,CM,Other,40,8,50,15,40,30,15,1,0,None,0,0,0,0,10,Stream,NA,None,No,No,No,No,43,0,1,7284.041479,52,0
123,1,148,124,CM,Other,5,65,3,5,1,25,5,15,0,Moderate,30,10,0,1,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,148,0,1,1662.070413,76,0
124,1,109,125,CM,Subsurface_High_Gradient,0,80,0,10,5,1,10,0,0,High,10,0,0,13,7,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,109,0,1,1425.254102,65,0
125,1,37,126,CM,Dry,0,30,1,5,8,50,10,0,0,High,5,0,0,1,NA,NA,NA,None,No,No,No,No,37,0,1,3790.838557,63,0
126,1,81,127,CM,Discharge_Slope,15,30,0,20,5,30,5,0,12,Moderate,15,0,10,5,20,Stream,NA,None,Yes,Yes,Yes,No,81,0,1,168.0264492,23,0
127,1,100,128,CM,Depressional_Perenial,0,85,1,8,0,0,10,5,0,High,40,0,0,3,0,Both,Downstream,Log_Jam,Yes,Yes,Yes,No,100,0,1,855.7494717,88,0
128,1,74,129,CM,Dry,10,10,20,20,20,10,1,0,0,Moderate,25,0,0,0,NA, ,NA,None,No,No,No,No,74,0,1,2055.511207,80,0
129,1,8,130,CM,Subsurface_Mid_Gradient,55,15,50,15,NA,1,0,0,0,High,5,0,0,5,2.5,Sm_Scale_Drainage,NA,None,No,No,Yes,Yes,8,0,1,5042.297182,56,0
130,1,44,131,CM,Other,10,1,25,30,15,45,5,0,0,None,0,0,0,0,5,Stream,NA,None,No,No,No,No,44,0,1,7277.039631,52,0
131,1,116,132,CM,Mound_Peatland,5,15,1,15,10,7,25,0,0,High,25,0,0,2,23,Sm_Scale_Drainage,Upstream,Log_Jam,Yes,Yes,Yes,Yes,116,0,1,1499.484399,86,0
132,1,112,133,CM,Riparian_High_Gradient,10,15,1,5,5,10,10,20,30,Moderate,10,25,5,3,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,112,0,1,1515.519079,67,0
133,1,144,134,CM,Other,0,75,0,0,0,5,0,10,10,Moderate,20,5,10,3,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,144,0,1,1739.577764,76,0
134,1,107,135,CM,Other,10,70,8,0,5,10,3,12,3,Moderate,5,0,0,0,0,Sm_Scale_Drainage,Downstream,Log_Jam,No,No,Yes,No,107,0,1,1500.409782,76,0
135,1,78,136,CM,Depressional_Seasonal,15,40,30,5,10,12,20,0,0,High,15,0,0,3,0,Sm_Scale_Drainage,Inside,Log_Jam,Yes,No,Yes,No,78,0,1,492.5383032,74,0
136,1,103,137,CM,Discharge_Slope,10,40,15,0,10,5,8,0,0,High,2,0,0,7,2,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,No,103,0,1,1122.259351,37,0
137,1,19,138,RF,Riparian_Mid_Gradient,20,35,1,10,20,0,40,15,0,Moderate,25,15,0,4,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,19,0,2,1649.648928,98,0
138,1,23,139,RF,Riparian_Mid_Gradient,0,5,55,10,10,30,20,0,0,High,0,0,0,0,NA,NA,NA,None,No,No,No,No,23,0,2,1858.062273,98,0
139,1,84,140,CM,Discharge_Slope,0,90,0,5,0,0,0,5,10,Low,5,0,5,5,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,84,0,1,222.2001831,73,0
140,1,64,141,CM,Lacustrine_Fringe,1,90,0,3,3,0,1,0,0,Moderate,5,0,1,7,0,Stream,NA,None,Yes,No,Yes,Yes,64,0,1,1353.398126,83,0
141,1,6,142,CM,Discharge_Slope,5,50,25,0,NA,15,0,1,2,None,0,0,0,1,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,6,0,1,5525.525999,55,0
142,1,34,143,CM,Dry,40,30,5,1,30,1,10,0,0,High,1,0,0,5,31,Stream,Downstream,Log_Jam,No,No,Yes,No,34,0,1,4403.455793,59,0
