date,meadow,transect,plot,species.code,species.count,notes
7/21/2023,cabin meadows,cm8,cm10a,carsp,1,
7/21/2023,cabin meadows,cm8,cm10a,danuni,1,
7/21/2023,cabin meadows,cm8,cm10a,unkgra,1,unknown wheat-like grass
7/21/2023,cabin meadows,cm8,cm10a,unkfb,1,fleshy-leaved basal rosette
7/21/2023,cabin meadows,cm8,cm10a,descae,1,
7/21/2023,cabin meadows,cm8,cm11a,elesp,1,
7/21/2023,cabin meadows,cm8,cm11a,carsp,1,
7/21/2023,cabin meadows,cm8,cm11a,bisbis,1,
7/21/2023,cabin meadows,cm8,cm11a,vioadu,1,
7/21/2023,cabin meadows,cm8,cm11a,unkfb,1,fleshy-leaved basal rosette
7/21/2023,cabin meadows,cm8,cm11a,pincon,1,
7/21/2023,cabin meadows,cm8,cm11a,erylin,1,
7/21/2023,cabin meadows,cm8,cm12p,pinmon,1,
7/21/2023,cabin meadows,cm8,cm12p,spispl,1,
7/21/2023,cabin meadows,cm8,cm12p,lincal,1,
7/21/2023,cabin meadows,cm8,cm12p,pincon,1,
7/21/2023,cabin meadows,cm8,cm12p,abicon,1,
7/21/2023,cabin meadows,cm8,cm12p,unkeri,1,
7/21/2023,cabin meadows,cm8,cm12p,schjam,1,
7/21/2023,cabin meadows,cm8,cm12p,unkgra,1,
7/21/2023,cabin meadows,cm8,cm12p,carmul,1,
7/21/2023,cabin meadows,cm8,cm12p,anedru,1,
7/21/2023,cabin meadows,cm8,cm12p,unkapi,1,
7/21/2023,cabin meadows,cm8,cm13a,trilon,1,
7/21/2023,cabin meadows,cm8,cm13a,lincal,1,
7/21/2023,cabin meadows,cm8,cm13a,bisbis,1,
7/21/2023,cabin meadows,cm8,cm13a,dancal,1,
7/21/2023,cabin meadows,cm8,cm13a,junsp,1,
7/21/2023,cabin meadows,cm8,cm13a,hasalb,1,
7/21/2023,cabin meadows,cm8,cm13a,schjam,1,
7/21/2023,cabin meadows,cm8,cm13a,descae,1,
7/21/2023,cabin meadows,cm8,cm13a,vioadu,1,
7/21/2023,cabin meadows,cm9?,cm14a,trilon,1,**double-check transect number for this set of plots
7/21/2023,cabin meadows,cm9?,cm14a,danuni,1,
7/21/2023,cabin meadows,cm9?,cm14a,carsp,1,
7/21/2023,cabin meadows,cm9?,cm14a,unkfab,1,same
7/21/2023,cabin meadows,cm9?,cm14a,prijef,1,
7/21/2023,cabin meadows,cm9?,cm14a,elesp,1,
7/21/2023,cabin meadows,cm9?,cm14a,unkfb,1,fleshy-leaved basal rosette
7/21/2023,cabin meadows,cm9?,cm15p,bisbis,1,
7/21/2023,cabin meadows,cm9?,cm15p,trilon,1,
7/21/2023,cabin meadows,cm9?,cm15p,pincon,1,
7/21/2023,cabin meadows,cm9?,cm15p,achmil,1,
7/21/2023,cabin meadows,cm9?,cm15p,potgra,1,
7/21/2023,cabin meadows,cm9?,cm15p,danuni,1,
7/21/2023,cabin meadows,cm9?,cm15p,erylan,1,
7/21/2023,cabin meadows,cm9?,cm15p,phapri,1,
7/21/2023,cabin meadows,cm9?,cm15p,unkfab,1,
7/21/2023,cabin meadows,cm9?,cm15p,coltra,1,
7/21/2023,cabin meadows,cm9?,cm15p,junsp,1,
7/21/2023,cabin meadows,cm9?,cm15p,elyely,1,
7/21/2023,cabin meadows,cm9?,cm15p,descae,1,
7/21/2023,cabin meadows,cm9?,cm16p,potgra,1,
7/21/2023,cabin meadows,cm9?,cm16p,trilon,1,
7/21/2023,cabin meadows,cm9?,cm16p,nocfen,1,
7/21/2023,cabin meadows,cm9?,cm16p,achmil,1,
7/21/2023,cabin meadows,cm9?,cm16p,abicon,1,
7/21/2023,cabin meadows,cm9?,cm16p,bisbis,1,
7/21/2023,cabin meadows,cm9?,cm16p,danuni,1,
7/21/2023,cabin meadows,cm9?,cm16p,helbig,1,
7/21/2023,cabin meadows,cm9?,cm16p,unkast,1,same
7/21/2023,cabin meadows,cm9?,cm16p,cerarv,1,
7/21/2023,cabin meadows,cm9?,cm16p,unkfab,1,
7/21/2023,cabin meadows,cm9?,cm16p,junsp,1,
7/21/2023,cabin meadows,cm9?,cm16p,unkfb,1,maybe epilobium?
7/21/2023,cabin meadows,cm9?,cm16p,lincal,1,
7/21/2023,cabin meadows,cm9?,cm16p,lewsp,1,"*not sure, this was a student ID and would be good to double-check"
7/21/2023,cabin meadows,cm9?,cm16p,vioadu,1,
7/21/2023,cabin meadows,cm7?,cm17a,trilon,1,
7/21/2023,cabin meadows,cm7?,cm17a,unkast,1,same
7/21/2023,cabin meadows,cm7?,cm17a,junsp,1,
7/21/2023,cabin meadows,cm7?,cm17a,sisida,1,
7/21/2023,cabin meadows,cm7?,cm17a,deselo,1,
7/21/2023,cabin meadows,cm7?,cm17a,helbig,1,
7/21/2023,cabin meadows,cm7?,cm17a,carsp,1,
7/21/2023,cabin meadows,cm7?,cm17a,danuni,1,
7/21/2023,cabin meadows,cm7?,cm17a,hasalb,1,
7/21/2023,cabin meadows,cm7?,cm17a,cerarv,1,
7/21/2023,cabin meadows,cm7?,cm18p,sidore,1,
7/21/2023,cabin meadows,cm7?,cm18p,achmil,1,
7/21/2023,cabin meadows,cm7?,cm18p,lincal,1,
7/21/2023,cabin meadows,cm7?,cm18p,potgra,1,
7/21/2023,cabin meadows,cm7?,cm18p,trilon,1,
7/21/2023,cabin meadows,cm7?,cm18p,carsp,1,
7/21/2023,cabin meadows,cm7?,cm18p,nocfen,1,
7/21/2023,cabin meadows,cm7?,cm18p,unkfab,1,
7/21/2023,cabin meadows,cm7?,cm18p,phapri,1,
7/21/2023,cabin meadows,cm7?,cm18p,unkgra,1,
7/21/2023,cabin meadows,cm7?,cm18p,danuni,1,
7/21/2023,cabin meadows,cm7?,cm19a,darcal,1,
7/21/2023,cabin meadows,cm7?,cm19a,trilon,1,
7/21/2023,cabin meadows,cm7?,cm19a,helbig,1,
7/21/2023,cabin meadows,cm7?,cm19a,hasalb,1,
7/21/2023,cabin meadows,cm7?,cm19a,carsp,1,
7/21/2023,cabin meadows,cm7?,cm19a,junsp,1,
7/21/2023,cabin meadows,cm7?,cm19a,sisida,1,
7/21/2023,cabin meadows,cm7?,cm19a,unkfab,1,
